,Country Code,Year,Urban population,Agricultural land (% of land area),Livestock production index (2004-2006 = 100),Electric power consumption (kWh per capita),Ores and metals exports (% of merchandise exports)
0,ABW,2017,47793.05698005704,11.111111111111098,122.54617443595134,1901.303802210241,4.115856411429519
1,AFG,2017,8663347.153846204,58.03564906129006,109.56558404558427,1901.303802210241,2.023331489915904
2,AGO,2017,17876481.971509814,47.280823653647914,142.02581196581195,190.49237809260558,2.0371271073912283
3,ALB,2017,1657050.4586894587,43.30565941698947,118.567720797721,1851.6930111012189,15.303342339496794
4,AND,2017,76838.58689458715,40.195550945749346,122.54617443595134,1901.303802210241,3.6230099942528824
5,ARB,2017,233523984.5384617,37.95269490727634,125.82333282635045,1917.9436967522925,-1.2347442538908808
6,ARE,2017,8397183.34188044,6.6718735205450415,165.72148148148153,8725.784800227993,-8.431028568454622
7,ARG,2017,40254605.22222221,55.32307057689911,111.42424501424557,2397.6603892412822,4.301533941388897
8,ARM,2017,1708181.8518518433,65.05840010301267,145.30457250370182,1172.9229095893024,49.72004340146577
9,ASM,2017,52478.78632478637,27.380484899564408,101.09156695156695,1901.303802210241,3.5905203178520537
10,ATG,2017,23639.4188034188,20.4545454545455,54.82196581196558,1901.303802210241,10.770534348338174
11,AUS,2017,20423416.655270636,50.09931550500869,106.91874643874644,8137.972672134987,34.58071716734207
12,AUT,2017,4874414.749287749,32.482615238769256,108.10920227920235,6552.63661606027,3.3707821571519077
13,AZE,2017,5232679.199430212,61.201006563102396,177.7580482871781,1360.6784409275715,0.09590669257431728
14,BDI,2017,1189771.928774923,72.18483460695307,129.85230769230748,1901.303802210241,7.571518278107931
15,BEL,2017,11038303.831908822,47.051112331555146,101.68687481689426,6299.836548714258,2.838253604433895
16,BEN,2017,4871447.566951573,35.532138955338496,137.7842735042741,79.1688724631631,2.205915088937587
17,BFA,2017,4976228.367521346,45.87452724879631,108.27373219373249,1901.303802210241,3.8077591689445285
18,BGD,2017,54575008.36467266,69.0721051268946,135.78227920227891,233.3437128989408,0.5621370354907569
19,BGR,2017,5216020.299145296,43.78554841121729,55.45356125356011,3342.709592014202,19.470289299061506
20,BHR,2017,1276985.2336182445,10.966474768334791,274.58643874643894,13827.596450470272,7.176970351062664
21,BHS,2017,319595.1908831913,1.44727067803991,120.91732193732196,1901.303802210241,9.048817932634584
22,BIH,2017,1646094.3076923077,42.63886610619029,132.13699415612336,2617.4449624159315,13.704598268816198
23,BLR,2017,7268248.3361823335,43.4761433970199,141.6975924467206,2384.437357367933,0.13803441326854227
24,BLZ,2017,167961.52136752196,7.184333357064617,121.73384615384657,1901.303802210241,-0.3217567914123691
25,BMU,2017,66709.16239316238,6.035665380472047,105.14960113960115,1901.303802210241,1.8340917536214647
26,BOL,2017,7689501.076923072,35.09533363682722,145.47960113960107,520.3022162967955,22.16047293740212
27,BRA,2017,183150628.65527153,34.310518902459364,138.75170940170938,1913.9480660009194,13.41113467832011
28,BRB,2017,87656.4985754987,27.59888690121238,108.64267806267799,1901.303802210241,1.479011150314406
29,BRN,2017,333102.7464387454,2.6352464670366302,199.5317094017082,7751.330534773937,0.07949712778736284
30,BTN,2017,296032.71509971656,14.777655478696545,100.51584045584036,1901.303802210241,9.99666193269411
31,BWA,2017,1469185.6210826188,45.62090451402477,125.79307692307702,1441.3473252423646,13.506070532546346
32,CAF,2017,1908716.8945868984,8.289990971617991,137.8577777777782,1901.303802210241,34.974688746966876
33,CAN,2017,29685881.37321937,6.87026467368711,99.32396011396008,11294.512158717494,7.502174378895404
34,CEB,2017,63613191.78917378,47.55205678805254,104.85917804367875,3017.331021229744,3.2167568805228086
35,CHE,2017,6074814.507122517,38.23867521198167,106.13356125356125,5922.596549053938,3.5047921641768482
36,CHI,2017,51386.77777777775,45.583184171765026,122.54617443595134,1901.303802210241,3.5905203178520537
37,CHL,2017,16157037.575498581,21.25759545825144,124.91988603988648,3155.0351839291397,59.907919606414
38,CHN,2017,788260062.6239319,55.250965323766906,141.1088034188033,2785.0514351133897,1.3145874764907575
39,CIV,2017,11712475.415954411,65.70567471196404,131.80387464387513,169.86618771946365,-0.33364694065733147
40,CMR,2017,12845590.376068473,20.509403228194856,129.07669515669477,194.6553142377087,4.365754611927599
41,COD,2017,32346955.524216652,11.445370821211702,105.53703703703701,71.09840814515474,3.5905203178520537
42,COG,2017,3240443.1111111343,31.081052671096597,177.34538461538432,109.36718452950481,0.9364784045394856
43,COL,2017,39384056.803418875,38.53698132725145,126.03991452991522,860.6530273618873,1.7694511957869707
44,COM,2017,223751.5327635333,74.68796208259562,114.90999999999985,1901.303802210241,1.3176481317096176
45,CPV,2017,356116.8091168087,20.363654358691576,97.94122507122506,1901.303802210241,-0.09530145800096079
46,CRI,2017,3890270.584045559,32.726823751117536,131.3921082621082,1539.72738109081,1.5072357638627452
47,CSS,2017,3728379.618233621,6.132145246759524,118.15114788866913,2686.9545944935235,3.178127452548516
48,CUB,2017,8874307.991452992,60.222420351652346,130.55888888888887,1057.8342566029046,11.268155429400196
49,CUW,2017,137583.64102564123,38.16736350668466,122.54617443595134,5086.029935701255,3.5905203178520537
